video,arm,budget_pct,seed,n_frames,n_windows,n_gold,n_admitted,M1,M2,M3,note
Assault006,D_random,10.5,3,8096,1,6911,850,1.0,0.10591810157719578,0.8611764705882353,
Assault006,D_random,10.5,4,8096,1,6911,850,1.0,0.10504992041672696,0.8541176470588235,
Assault006,C_uniform,20.0,,8096,1,6911,1619,1.0,0.19997106062798436,0.8536133415688697,
Assault006,D_random,20.0,0,8096,1,6911,1619,1.0,0.20373317899001592,0.8696726374305127,
Assault006,D_random,20.0,1,8096,1,6911,1619,1.0,0.2008392417884532,0.8573193329215565,
Assault006,D_random,20.0,2,8096,1,6911,1619,1.0,0.20026045434814063,0.8548486720197653,
Assault006,D_random,20.0,3,8096,1,6911,1619,1.0,0.19693242656634352,0.8406423718344658,
Assault006,D_random,20.0,4,8096,1,6911,1619,1.0,0.1973665171465779,0.8424953675108091,
Assault006,C_uniform,30.0,,8096,1,6911,2428,1.0,0.2998118940818984,0.8533772652388797,
Assault006,D_random,30.0,0,8096,1,6911,2428,1.0,0.30198234698307047,0.8595551894563427,
Assault006,D_random,30.0,1,8096,1,6911,2428,1.0,0.30154825640283606,0.8583196046128501,
Assault006,D_random,30.0,2,8096,1,6911,2428,1.0,0.30154825640283606,0.8583196046128501,
Assault006,D_random,30.0,3,8096,1,6911,2428,1.0,0.29749674432064827,0.8467874794069192,
Assault006,D_random,30.0,4,8096,1,6911,2428,1.0,0.3008247721024454,0.8562602965403624,
Assault010,A_production,10.4098,,16177,2,1022,1684,1.0,0.10469667318982387,0.06353919239904988,natural retention
Assault010,B_recomputed,10.4098,,16177,2,1022,1684,1.0,0.23874755381604695,0.14489311163895488,topk@10.41%; charon_retention=10.41%
Assault010,C_uniform,5.0,,16177,2,1022,808,1.0,0.049902152641878667,0.06311881188118812,
Assault010,D_random,5.0,0,16177,2,1022,808,1.0,0.04892367906066536,0.06188118811881188,
Assault010,D_random,5.0,1,16177,2,1022,808,1.0,0.06164383561643835,0.07797029702970297,
Assault010,D_random,5.0,2,16177,2,1022,808,1.0,0.05577299412915851,0.07054455445544554,
Assault010,D_random,5.0,3,16177,2,1022,808,1.0,0.043052837573385516,0.054455445544554455,
Assault010,D_random,5.0,4,16177,2,1022,808,1.0,0.040117416829745595,0.050742574257425746,
Assault010,C_uniform,10.0,,16177,2,1022,1617,1.0,0.09980430528375733,0.06307977736549165,
Assault010,D_random,10.0,0,16177,2,1022,1617,1.0,0.0949119373776908,0.05998763141620284,
Assault010,D_random,10.0,1,16177,2,1022,1617,1.0,0.1086105675146771,0.0686456400742115,
Assault010,D_random,10.0,2,16177,2,1022,1617,1.0,0.1086105675146771,0.0686456400742115,
