cell_id,method,params,n_scored,gold_at_4,mIoP,mIoU,IoP@0.3,IoP@0.5,IoU@0.3,IoU@0.5,zero_width_count,zero_width_rate,clip_anchor_fallback_rate,degenerate_fallback_rate,weight_fallback_rate,mean_width,median_width,p10_width,p90_width,structurally_barred_count,mIoP_<2s,mIoU_<2s,n_<2s,mIoP_2-5s,mIoU_2-5s,n_2-5s,mIoP_5-10s,mIoU_5-10s,n_5-10s,mIoP_>=10s,mIoU_>=10s,n_>=10s,mIoP_CW,mIoU_CW,n_CW,mIoP_CH,mIoU_CH,n_CH,mIoP_TN,mIoU_TN,n_TN,mIoP_TC,mIoU_TC,n_TC,mIoP_TP,mIoU_TP,n_TP,elapsed_ms
37,E,"{""tau"": 0.8, ""w_min"": 1.8, ""smooth_s"": 0.5, ""gap"": 1, ""anchor_source"": ""topk""}",2685,0.5303538175046555,0.31535208693950434,0.10928941093606032,0.35567970204841715,0.32253258845437616,0.14748603351955308,0.061080074487895715,0,0.0,0.0,0.0,,2.221680813103606,1.8000000000000003,1.7999999999999972,3.0230212012011988,74,0.11026173272073468,0.09695267250554572,278,0.22059255213772128,0.1212304043404665,1125,0.3603912465347744,0.11887053404312288,731,0.5525498536558047,0.07842225070459641,551,,,0,,,0,,,0,,,0,,,0,
38,E,"{""tau"": 0.8, ""w_min"": 2.2, ""smooth_s"": 0.5, ""gap"": 1, ""anchor_source"": ""topk""}",2685,0.5303538175046555,0.3143086445332626,0.12122951157056444,0.36089385474860336,0.3232774674115456,0.16945996275605213,0.07560521415270019,0,0.0,0.0,0.0,,2.5222083190080213,2.200000000000001,2.1999999999999886,3.0230212012011988,89,0.10448849566443796,0.0960037439596872,278,0.21993113429415523,0.1357739422747789,1125,0.36005083260865656,0.13344855559470015,731,0.55218007996233,0.08805012440530029,551,,,0,,,0,,,0,,,0,,,0,
39,F,"{""alpha"": 1.0, ""w_min"": 0.6}",2685,0.5303538175046555,0.3018160148487241,0.13835394609456608,0.3616387337057728,0.2905027932960894,0.18919925512104283,0.08305400372439478,0,0.0,0.0,,0.0,6.097055523064893,4.422245201190401,0.9052884846060096,14.210194737450768,617,0.10873169391755301,0.08270885409740392,278,0.20219278493154114,0.1297552690889722,1125,0.3303967749565576,0.15158582222158265,731,0.564721712193316,0.16643079864929392,551,,,0,,,0,,,0,,,0,,,0,
40,F,"{""alpha"": 1.0, ""w_min"": 1.4}",2685,0.5303538175046555,0.3012097216682208,0.1458141002401457,0.3638733705772812,0.2905027932960894,0.20335195530726258,0.08864059590316574,0,0.0,0.0,,0.0,6.18235386031511,4.422245201190401,1.3999999999999995,14.210194737450768,619,0.10429967734005216,0.09270911248610698,278,0.20146934996609497,0.13940874273307136,1125,0.33050662756594146,0.15869698430301293,731,0.565334716726095,0.1685941828919161,551,,,0,,,0,,,0,,,0,,,0,
41,F,"{""alpha"": 1.0, ""w_min"": 2.2}",2685,0.5303538175046555,0.3004584292394029,0.15505004082102494,0.3679702048417132,0.28938547486033517,0.2245810055865922,0.09832402234636871,0,0.0,0.0,,0.0,6.340386575812358,4.422245201190401,2.1999999999999993,14.210194737450768,629,0.09749361127174809,0.09211821776254404,278,0.2006859267647079,0.1507993451229942,1125,0.3311190101534981,0.1720392521920765,731,0.5658947269360207,0.1729410861174017,551,,,0,,,0,,,0,,,0,,,0,
42,F,"{""alpha"": 1.5, ""w_min"": 0.6}",2685,0.5303538175046555,0.29642836564001473,0.16003399812298344,0.3690875232774674,0.2685288640595903,0.2335195530726257,0.09013035381750466,0,0.0,0.0,,0.0,8.02064795114655,6.446695835672848,1.3547265778621609,18.722335183474897,858,0.1012091684369145,0.08040891761356762,278,0.19580983654194717,0.14054437182172977,1125,0.32374636672408563,0.1784858557307829,731,0.5641186075008714,0.21552092019054528,551,,,0,,,0,,,0,,,0,,,0,
43,F,"{""alpha"": 1.5, ""w_min"": 1.4}",2685,0.5303538175046555,0.2957108222424859,0.16500428375459686,0.36983240223463687,0.2685288640595903,0.24394785847299813,0.09385474860335195,0,0.0,0.0,,0.0,8.072154129945986,6.446695835672848,1.4000000000000057,18.722335183474897,859,0.09734342172081806,0.0881142413268991,278,0.19473063795123213,0.14723827508048462,1125,0.32375684582210207,0.18264967127194143,731,0.56476200452195,0.21666202110141614,551,,,0,,,0,,,0,,,0,,,0,
44,F,"{""alpha"": 1.5, ""w_min"": 2.2}",2685,0.5303538175046555,0.29506607164117804,0.17144865254016148,0.37206703910614525,0.2674115456238361,0.25921787709497207,0.10204841713221602,0,0.0,0.0,,0.0,8.175224935977996,6.446695835672848,2.2,18.722335183474897,867,0.09175507411779014,0.08721104730605807,278,0.19410782258418818,0.15577939634057172,1125,0.3239859884766037,0.19137992599377765,731,0.5654073208134454,0.2194998441645277,551,,,0,,,0,,,0,,,0,,,0,
45,F,"{""alpha"": 2.0, ""w_min"": 0.6}",2685,0.5303538175046555,0.29347381165154895,0.17488664053888894,0.36983240223463687,0.2584729981378026,0.2547486033519553,0.10465549348230913,0,0.0,0.0,,0.0,9.264400172867877,7.967967967967965,1.7933171529317065,20.0,1035,0.0995990831265336,0.08249968233543485,278,0.19170984930654647,0.1458419376890974,1125,0.32277465680174994,0.19996013979176877,731,0.5601938014215765,0.24753661718629472,551,,,0,,,0,,,0,,,0,,,0,
46,F,"{""alpha"": 2.0, ""w_min"": 1.4}",2685,0.5303538175046555,0.2929797292957297,0.17845340587111963,0.37057728119180633,0.2584729981378026,0.26294227188081937,0.10726256983240223,0,0.0,0.0,,0.0,9.298500786450408,7.967967967967965,1.7933171529317065,20.0,1036,0.09716147448273131,0.0892556124309093,278,0.1908756184275292,0.15074809469931755,1125,0.3226933908656493,0.20241363279248736,731,0.5608271212324407,0.24823659237771858,551,,,0,,,0,,,0,,,0,,,0,
47,F,"{""alpha"": 2.0, ""w_min"": 2.2}",2685,0.5303538175046555,0.2922485312781815,0.18322122427640902,0.3716945996275605,0.2573556797020484,0.27411545623836125,0.11433891992551211,0,0.0,0.0,,0.0,9.37194444959654,7.967967967967965,2.200000000000002,20.0,1042,0.09147674227061597,0.08740076644333082,278,0.19014734162771846,0.1575328482994004,1125,0.32275883495759133,0.20874556148608772,731,0.5615323129682459,0.25015265758213556,551,,,0,,,0,,,0,,,0,,,0,
