video,arm,budget_pct,seed,n_frames,n_shots,n_windows,n_gold,n_admitted,M1,M2,M3,note
Arrest001,F_shot1_action,30.0,,2374,52,1,301,712,1.0,0.16611295681063123,0.0702247191011236,floor=52/712 (7.3% of budget)
Arrest001,G_shot2_action,30.0,,2374,52,1,301,712,1.0,0.16611295681063123,0.0702247191011236,floor=104/712 (14.6% of budget)
Arrest001,H_shot1_mid,30.0,,2374,52,1,301,712,1.0,0.28903654485049834,0.12219101123595505,floor=52/712 (7.3% of budget)
Arrest001,I_shot2_mid,30.0,,2374,52,1,301,712,1.0,0.27906976744186046,0.11797752808988764,floor=104/712 (14.6% of budget)
Arrest007,A_production,10.5916,,3144,76,1,631,333,1.0,0.098256735340729,0.18618618618618618,natural retention
Arrest007,C_uniform,5.0,,3144,76,1,631,157,1.0,0.05071315372424723,0.20382165605095542,
Arrest007,D_random,5.0,0,3144,76,1,631,157,1.0,0.058637083993660855,0.2356687898089172,
Arrest007,D_random,5.0,1,3144,76,1,631,157,1.0,0.039619651347068144,0.1592356687898089,
Arrest007,D_random,5.0,2,3144,76,1,631,157,1.0,0.06814580031695722,0.27388535031847133,
Arrest007,D_random,5.0,3,3144,76,1,631,157,1.0,0.0554675118858954,0.2229299363057325,
Arrest007,D_random,5.0,4,3144,76,1,631,157,1.0,0.04120443740095087,0.16560509554140126,
Arrest007,E_action_topk,5.0,,3144,76,1,631,157,1.0,0.004754358161648178,0.01910828025477707,R0 codec anchor at matched budget
Arrest007,F_shot1_action,5.0,,3144,76,1,631,157,1.0,0.058637083993660855,0.2356687898089172,floor=76/157 (48.4% of budget)
Arrest007,G_shot2_action,5.0,,3144,76,1,631,157,1.0,0.058637083993660855,0.2356687898089172,floor=152/157 (96.8% of budget)
Arrest007,H_shot1_mid,5.0,,3144,76,1,631,157,1.0,0.0554675118858954,0.2229299363057325,floor=76/157 (48.4% of budget)
Arrest007,I_shot2_mid,5.0,,3144,76,1,631,157,1.0,0.058637083993660855,0.2356687898089172,floor=152/157 (96.8% of budget)
Arrest007,C_uniform,10.0,,3144,76,1,631,314,1.0,0.09984152139461172,0.20063694267515925,
Arrest007,D_random,10.0,0,3144,76,1,631,314,1.0,0.09508716323296355,0.1910828025477707,
Arrest007,D_random,10.0,1,3144,76,1,631,314,1.0,0.08874801901743265,0.17834394904458598,
Arrest007,D_random,10.0,2,3144,76,1,631,314,1.0,0.10618066561014262,0.21337579617834396,
Arrest007,D_random,10.0,3,3144,76,1,631,314,1.0,0.10301109350237718,0.2070063694267516,
Arrest007,D_random,10.0,4,3144,76,1,631,314,1.0,0.098256735340729,0.19745222929936307,
Arrest007,E_action_topk,10.0,,3144,76,1,631,314,1.0,0.014263074484944533,0.028662420382165606,R0 codec anchor at matched budget
Arrest007,F_shot1_action,10.0,,3144,76,1,631,314,1.0,0.11251980982567353,0.22611464968152867,floor=76/314 (24.2% of budget)
Arrest007,G_shot2_action,10.0,,3144,76,1,631,314,1.0,0.1109350237717908,0.2229299363057325,floor=152/314 (48.4% of budget)
Arrest007,H_shot1_mid,10.0,,3144,76,1,631,314,1.0,0.10776545166402536,0.21656050955414013,floor=76/314 (24.2% of budget)
Arrest007,I_shot2_mid,10.0,,3144,76,1,631,314,1.0,0.10935023771790808,0.2197452229299363,floor=152/314 (48.4% of budget)
Arrest007,C_uniform,10.5,,3144,76,1,631,330,1.0,0.1045958795562599,0.2,
Arrest007,D_random,10.5,0,3144,76,1,631,330,1.0,0.09667194928684628,0.18484848484848485,
Arrest007,D_random,10.5,1,3144,76,1,631,330,1.0,0.09350237717908082,0.1787878787878788,
Arrest007,D_random,10.5,2,3144,76,1,631,330,1.0,0.11251980982567353,0.21515151515151515,
Arrest007,D_random,10.5,3,3144,76,1,631,330,1.0,0.11251980982567353,0.21515151515151515,
Arrest007,D_random,10.5,4,3144,76,1,631,330,1.0,0.1045958795562599,0.2,
Arrest007,E_action_topk,10.5,,3144,76,1,631,330,1.0,0.014263074484944533,0.02727272727272727,R0 codec anchor at matched budget
Arrest007,F_shot1_action,10.5,,3144,76,1,631,330,1.0,0.11410459587955626,0.21818181818181817,floor=76/330 (23.0% of budget)
Arrest007,G_shot2_action,10.5,,3144,76,1,631,330,1.0,0.11885895404120443,0.22727272727272727,floor=152/330 (46.1% of budget)
Arrest007,H_shot1_mid,10.5,,3144,76,1,631,330,1.0,0.1109350237717908,0.21212121212121213,floor=76/330 (23.0% of budget)
Arrest007,I_shot2_mid,10.5,,3144,76,1,631,330,1.0,0.11568938193343899,0.22121212121212122,floor=152/330 (46.1% of budget)
Arrest007,C_uniform,20.0,,3144,76,1,631,628,1.0,0.19968304278922344,0.20063694267515925,
Arrest007,D_random,20.0,0,3144,76,1,631,628,1.0,0.20285261489698891,0.20382165605095542,
Arrest007,D_random,20.0,1,3144,76,1,631,628,1.0,0.2076069730586371,0.2085987261146497,
Arrest007,D_random,20.0,2,3144,76,1,631,628,1.0,0.19968304278922344,0.20063694267515925,
Arrest007,D_random,20.0,3,3144,76,1,631,628,1.0,0.20602218700475436,0.2070063694267516,
Arrest007,D_random,20.0,4,3144,76,1,631,628,1.0,0.18700475435816163,0.18789808917197454,
Arrest007,E_action_topk,20.0,,3144,76,1,631,628,1.0,0.014263074484944533,0.014331210191082803,R0 codec anchor at matched budget
Arrest007,F_shot1_action,20.0,,3144,76,1,631,628,1.0,0.21553090332805072,0.21656050955414013,floor=76/628 (12.1% of budget)
Arrest007,G_shot2_action,20.0,,3144,76,1,631,628,1.0,0.21394611727416799,0.21496815286624205,floor=152/628 (24.2% of budget)
Arrest007,H_shot1_mid,20.0,,3144,76,1,631,628,1.0,0.2076069730586371,0.2085987261146497,floor=76/628 (12.1% of budget)
Arrest007,I_shot2_mid,20.0,,3144,76,1,631,628,1.0,0.2091917591125198,0.21019108280254778,floor=152/628 (24.2% of budget)
Arrest007,C_uniform,30.0,,3144,76,1,631,943,1.0,0.29952456418383516,0.20042417815482502,
Arrest007,D_random,30.0,0,3144,76,1,631,943,1.0,0.31695721077654515,0.21208907741251326,
Arrest007,D_random,30.0,1,3144,76,1,631,943,1.0,0.2979397781299525,0.19936373276776245,
Arrest007,D_random,30.0,2,3144,76,1,631,943,1.0,0.27099841521394613,0.18133616118769882,
Arrest007,D_random,30.0,3,3144,76,1,631,943,1.0,0.28526148969889065,0.19088016967126192,
Arrest007,D_random,30.0,4,3144,76,1,631,943,1.0,0.29952456418383516,0.20042417815482502,
Arrest007,E_action_topk,30.0,,3144,76,1,631,943,1.0,0.08240887480190175,0.05514316012725345,R0 codec anchor at matched budget
Arrest007,F_shot1_action,30.0,,3144,76,1,631,943,1.0,0.3264659270998415,0.21845174973488865,floor=76/943 (8.1% of budget)
Arrest007,G_shot2_action,30.0,,3144,76,1,631,943,1.0,0.32805071315372425,0.21951219512195122,floor=152/943 (16.1% of budget)
Arrest007,H_shot1_mid,30.0,,3144,76,1,631,943,1.0,0.3011093502377179,0.2014846235418876,floor=76/943 (8.1% of budget)
Arrest007,I_shot2_mid,30.0,,3144,76,1,631,943,1.0,0.3090332805071315,0.2067868504772004,floor=152/943 (16.1% of budget)
Arrest024,A_production,10.4161,,3629,74,1,2101,378,1.0,0.10471204188481675,0.582010582010582,natural retention
Arrest024,C_uniform,5.0,,3629,74,1,2101,181,1.0,0.049976201808662545,0.580110497237569,
Arrest024,D_random,5.0,0,3629,74,1,2101,181,1.0,0.05188005711565921,0.6022099447513812,
Arrest024,D_random,5.0,1,3629,74,1,2101,181,1.0,0.04950023798191337,0.574585635359116,
Arrest024,D_random,5.0,2,3629,74,1,2101,181,1.0,0.05283198476915754,0.6132596685082873,
Arrest024,D_random,5.0,3,3629,74,1,2101,181,1.0,0.05045216563541171,0.585635359116022,
Arrest024,D_random,5.0,4,3629,74,1,2101,181,1.0,0.047596382674916705,0.5524861878453039,
Arrest024,E_action_topk,5.0,,3629,74,1,2101,181,1.0,0.04950023798191337,0.574585635359116,R0 codec anchor at matched budget
Arrest024,F_shot1_action,5.0,,3629,74,1,2101,181,1.0,0.06187529747739172,0.7182320441988951,floor=74/181 (40.9% of budget)
Arrest024,G_shot2_action,5.0,,3629,74,1,2101,181,1.0,0.06187529747739172,0.7182320441988951,floor=148/181 (81.8% of budget)
Arrest024,H_shot1_mid,5.0,,3629,74,1,2101,181,1.0,0.05711565920990005,0.6629834254143646,floor=74/181 (40.9% of budget)
Arrest024,I_shot2_mid,5.0,,3629,74,1,2101,181,1.0,0.06092336982389338,0.7071823204419889,floor=148/181 (81.8% of budget)
Arrest024,C_uniform,10.0,,3629,74,1,2101,362,1.0,0.09995240361732509,0.580110497237569,
Arrest024,D_random,10.0,0,3629,74,1,2101,362,1.0,0.09995240361732509,0.580110497237569,
Arrest024,D_random,10.0,1,3629,74,1,2101,362,1.0,0.10233222275107091,0.5939226519337016,
