video_id,qid,question_type,question_family,gold_span_length_s,span_bucket,survived,total_frames,survivor_count,retention_pct
2925298951,7,TN,temporal,3.2,long,True,398,54,13.568
6642268693,3,CW,causal,7.3,long,True,1143,154,13.473
3372023610,9,TN,temporal,6.8,long,True,1017,136,13.373
3581585756,8,TC,temporal,4.2,long,True,702,95,13.533
3942617402,5,TN,temporal,6.8,long,True,738,99,13.415
4935987905,4,CH,causal,8.3,long,True,806,108,13.4
5803861992,9,TC,temporal,69.2,long,True,2145,290,13.52
4882821564,8,CW,causal,13.2,long,True,2697,360,13.348
8557532213,9,CW,causal,4.4,long,True,379,51,13.456
4612723694,9,CH,causal,28.0,long,True,1681,225,13.385
4846820256,4,TN,temporal,1.9,short,True,671,90,13.413
3763643225,6,CW,causal,6.0,long,True,1073,144,13.42
3626788516,5,TN,temporal,9.9,long,True,337,46,13.65
3508459605,11,CH,causal,3.2,long,True,2609,348,13.338
2435633172,1,TN,temporal,5.6,long,True,2293,307,13.389
4688219212,6,TN,temporal,2.6,long,True,959,128,13.347
9917882506,1,TN,temporal,3.6,long,True,974,115,11.807
11503803033,7,TN,temporal,5.6,long,True,623,74,11.878
8428551576,1,CW,causal,2.8,long,True,2688,359,13.356
2405940242,3,CH,causal,3.6,long,True,415,57,13.735
4164771889,8,TN,temporal,6.8,long,True,503,68,13.519
7288107396,2,CW,causal,5.6,long,True,507,68,13.412
5533380417,4,TN,temporal,3.1,long,True,403,56,13.896
7288107396,1,CW,causal,1.7,short,True,507,68,13.412
2930782930,5,TP,temporal,1.8,short,True,939,126,13.419
4264435046,5,TN,temporal,5.9,long,True,566,76,13.428
6097994550,9,CH,causal,1.6,short,True,526,71,13.498
4190655097,7,TN,temporal,7.0,long,True,1290,172,13.333
7771650716,8,CH,causal,11.9,long,True,1805,247,13.684
4199369046,1,CW,causal,33.3,long,True,1717,230,13.395
3383804222,5,CH,causal,3.7,long,True,999,134,13.413
5467727317,0,CW,causal,11.5,long,True,1230,164,13.333
5296635780,6,TC,temporal,2.9,long,True,652,88,13.497
6898821807,4,CW,causal,2.9,long,True,585,79,13.504
3943634344,10,TN,temporal,2.2,short,True,629,84,13.355
3830567237,6,TC,temporal,19.2,long,True,716,96,13.408
4671452046,4,CH,causal,11.3,long,True,1306,175,13.4
4518113460,9,TN,temporal,8.2,long,True,1867,250,13.39
7961460440,10,TN,temporal,1.3,short,True,360,48,13.333
5116088152,2,CW,causal,4.7,long,True,1205,162,13.444
3441428429,9,TN,temporal,2.3,short,True,2697,360,13.348
