video,arm,budget_pct,seed,n_frames,n_windows,n_gold,n_admitted,M1,M2,M3,note
Arson009,D_random,10.0,2,743,1,96,74,1.0,0.11458333333333333,0.14864864864864866,
Arson009,D_random,10.0,3,743,1,96,74,1.0,0.08333333333333333,0.10810810810810811,
Arson009,D_random,10.0,4,743,1,96,74,1.0,0.08333333333333333,0.10810810810810811,
Arson009,C_uniform,10.5,,743,1,96,78,1.0,0.10416666666666667,0.1282051282051282,
Arson009,D_random,10.5,0,743,1,96,78,1.0,0.09375,0.11538461538461539,
Arson009,D_random,10.5,1,743,1,96,78,1.0,0.11458333333333333,0.14102564102564102,
Arson009,D_random,10.5,2,743,1,96,78,1.0,0.11458333333333333,0.14102564102564102,
Arson009,D_random,10.5,3,743,1,96,78,1.0,0.09375,0.11538461538461539,
Arson009,D_random,10.5,4,743,1,96,78,1.0,0.08333333333333333,0.10256410256410256,
Arson009,C_uniform,20.0,,743,1,96,148,1.0,0.19791666666666666,0.12837837837837837,
Arson009,D_random,20.0,0,743,1,96,148,1.0,0.21875,0.14189189189189189,
Arson009,D_random,20.0,1,743,1,96,148,1.0,0.22916666666666666,0.14864864864864866,
Arson009,D_random,20.0,2,743,1,96,148,1.0,0.19791666666666666,0.12837837837837837,
Arson009,D_random,20.0,3,743,1,96,148,1.0,0.1875,0.12162162162162163,
Arson009,D_random,20.0,4,743,1,96,148,1.0,0.19791666666666666,0.12837837837837837,
Arson009,C_uniform,30.0,,743,1,96,222,1.0,0.2916666666666667,0.12612612612612611,
Arson009,D_random,30.0,0,743,1,96,222,1.0,0.34375,0.14864864864864866,
Arson009,D_random,30.0,1,743,1,96,222,1.0,0.3229166666666667,0.13963963963963963,
Arson009,D_random,30.0,2,743,1,96,222,1.0,0.3229166666666667,0.13963963963963963,
Arson009,D_random,30.0,3,743,1,96,222,1.0,0.2916666666666667,0.12612612612612611,
Arson009,D_random,30.0,4,743,1,96,222,1.0,0.3541666666666667,0.15315315315315314,
Arson010,A_production,10.6363,,3159,1,346,336,1.0,0.11271676300578035,0.11607142857142858,natural retention
Arson010,C_uniform,5.0,,3159,1,346,157,1.0,0.049132947976878616,0.10828025477707007,
Arson010,D_random,5.0,0,3159,1,346,157,1.0,0.057803468208092484,0.12738853503184713,
Arson010,D_random,5.0,1,3159,1,346,157,1.0,0.04046242774566474,0.08917197452229299,
Arson010,D_random,5.0,2,3159,1,346,157,1.0,0.03757225433526012,0.08280254777070063,
Arson010,D_random,5.0,3,3159,1,346,157,1.0,0.05202312138728324,0.11464968152866242,
Arson010,D_random,5.0,4,3159,1,346,157,1.0,0.05491329479768786,0.12101910828025478,
Arson010,C_uniform,10.0,,3159,1,346,315,1.0,0.10115606936416185,0.1111111111111111,
