video,qid,ppr_lambda,any_in_gold,iop,iou
3372023610,6,0.5,True,1.0,0.31206
5229476012,2,0.5,False,0.0,0.0
3963997053,1,0.5,True,1.0,0.37671
13919236672,5,0.5,False,0.0,0.0
4612723694,4,0.5,False,0.0,0.0
2596300565,5,0.5,True,1.0,0.12571
2771402761,9,0.5,False,0.0,0.0
2573424030,10,0.5,False,0.0,0.0
4443526735,8,0.5,False,0.0,0.0
7572859950,1,0.5,True,0.0,0.0
2735019707,5,0.5,True,0.0,0.0
4219909195,5,0.5,False,0.0,0.0
5919180502,7,0.5,True,0.0,0.0
6480018109,5,0.5,True,0.99621,0.71662
6879924118,2,0.5,False,0.47393,0.12328
6025238212,6,0.5,True,0.25,0.25
7331927796,5,0.5,False,0.0,0.0
4276006683,6,0.5,False,0.04223,0.02506
3345608051,6,0.5,False,0.0,0.0
8627074061,7,0.5,False,0.0,0.0
8107573462,8,0.5,True,0.20455,0.20455
4251505427,0,0.5,True,1.0,0.10864
4584426085,3,0.5,False,0.0,0.0
4765717907,7,0.5,False,0.29841,0.21222
3429509208,4,0.5,False,0.0,0.0
2978295992,6,0.5,False,0.0,0.0
5205081904,0,0.5,True,0.20175,0.06159
6988748711,4,0.5,False,0.0,0.0
3261079025,4,0.5,False,0.0,0.0
3063380173,2,0.5,True,0.0,0.0
4103088549,6,0.5,True,1.0,0.40367
4967810888,6,0.5,True,0.0,0.0
2435633172,4,0.5,False,0.0,0.0
6233408665,1,0.5,False,0.0,0.0
4984417707,6,0.5,True,0.0,0.0
2984974097,7,0.5,True,0.0,0.0
8457210773,3,0.5,False,0.0,0.0
2679328607,7,0.5,True,0.0,0.0
6097994550,6,0.5,False,0.29014,0.12996
5256928210,4,0.5,True,1.0,0.2328
3526597179,6,0.5,True,0.60764,0.56567
8575881495,5,0.5,False,0.23592,0.093
8080432373,1,0.5,False,0.0,0.0
3121571439,7,0.5,True,0.0,0.0
2833209794,7,0.5,True,0.0,0.0
4488066715,4,0.5,True,0.86416,0.827
7416295940,5,0.5,False,0.15909,0.15909
4260763967,7,0.5,False,0.0,0.0
7164729910,3,0.5,False,0.0,0.0
11566930393,4,0.5,False,0.0,0.0
10309542255,3,0.5,True,0.54778,0.53683
6691330381,3,0.5,True,0.0,0.0
2854886555,0,0.5,False,0.0,0.0
10042935613,1,0.5,True,0.0,0.0
3462517143,1,0.5,False,0.0,0.0
2735019707,2,0.5,True,0.55467,0.3558
3708066257,8,0.5,True,0.0,0.0
5801184682,5,0.5,True,1.0,0.26506
4189100053,4,0.5,False,0.0,0.0
2400715506,3,0.5,False,0.0,0.0
6480018109,7,0.5,True,1.0,0.24309
3477387686,8,0.5,False,0.32675,0.30837
4189100053,5,0.5,False,0.0,0.0
3429509208,2,0.5,True,0.97727,0.97727
5026660202,9,0.5,False,0.0,0.0
6239210933,9,0.5,False,0.0,0.0
5138093706,6,0.5,False,0.0,0.0
3963997053,4,0.5,False,0.0,0.0
5429688959,2,0.5,True,1.0,0.10092
2824317018,1,0.5,True,1.0,0.13333
14003541505,4,0.5,False,0.0,0.0
9217939684,5,0.5,False,0.0,0.0
3429509208,8,0.5,True,0.2354,0.16534
3477387686,4,0.5,False,0.0,0.0
4584426085,6,0.5,True,0.87127,0.48122
2712662377,5,0.5,True,0.68805,0.63433
11541421563,8,0.5,False,0.0,0.0
3861485381,2,0.5,True,0.54897,0.38435
4444192938,1,0.5,False,0.0,0.0
2503404966,10,0.5,False,0.0,0.0
6253433310,4,0.5,False,0.10279,0.08214
2977504625,6,0.5,True,0.39773,0.18919
2771402761,6,0.5,False,0.0,0.0
5433090067,3,0.5,True,0.72295,0.15134
4249756405,5,0.5,False,0.0,0.0
6618792571,5,0.5,False,0.0,0.0
8313365386,4,0.5,True,0.14394,0.08597
6300775954,9,0.5,True,0.45708,0.33581
4388652400,3,0.5,False,0.11268,0.07742
6988748711,8,0.5,False,0.0,0.0
6329954198,7,0.5,False,0.15362,0.10084
5919180502,2,0.5,False,0.0,0.0
6233408665,2,0.5,False,0.0,0.0
5328004991,1,0.5,True,1.0,0.34921
5667931404,4,0.5,False,0.0,0.0
5902452647,1,0.5,True,0.5,0.5
6618792571,8,0.5,True,0.11562,0.04466
6037747123,6,0.5,True,0.2141,0.10516
6168295272,7,0.5,False,0.0,0.0
6642268693,4,0.5,False,0.0,0.0
4698622422,2,0.5,True,0.52842,0.43257
2435100235,2,0.5,False,0.0,0.0
4762946272,7,0.5,False,0.02541,0.016
4612723694,6,0.5,True,1.0,0.34109
6762389913,6,0.5,True,0.67545,0.31861
2559262403,7,0.5,False,0.0,0.0
6168716346,8,0.5,True,0.71804,0.40295
3902997424,4,0.5,False,0.0,0.0
5667931404,6,0.5,True,1.0,0.74576
9576671750,2,0.5,True,0.56955,0.38005
4443526735,4,0.5,False,0.02602,0.0155
4465235803,5,0.5,True,0.44775,0.22312
6582763207,3,0.5,False,0.0,0.0
5061117640,3,0.5,True,0.84198,0.66211
2400171624,6,0.5,True,0.0,0.0
3902997424,5,0.5,True,0.59495,0.59495
8457210773,0,0.5,False,0.0,0.0
4276006683,3,0.5,False,0.15818,0.11219
3206694342,0,0.5,False,0.0,0.0
9565310990,3,0.5,False,0.0,0.0
5333075105,3,0.5,True,1.0,0.15771
6879924118,4,0.5,True,1.0,0.29333
8783897632,3,0.5,True,0.69253,0.39817
4378803532,10,0.5,True,1.0,0.10377
6772999108,2,0.5,False,0.0,0.0
3814690167,5,0.5,True,0.6668,0.33823
3263908208,9,0.5,True,0.67045,0.22097
2669452260,0,0.5,True,1.0,0.8404
6516459343,9,0.5,True,1.0,0.08998
5919180502,3,0.5,True,0.0,0.0
5681946487,5,0.5,True,0.0,0.0
4378803532,12,0.5,False,0.0,0.0
2599937944,3,0.5,True,0.85432,0.37067
8797589693,8,0.5,False,0.0,0.0
11541421563,6,0.5,True,0.0,0.0
7492398760,11,0.5,True,0.86333,0.58428
5349766264,10,0.5,True,0.0,0.0
4333544549,2,0.5,False,0.0,0.0
11566930393,3,0.5,False,0.0,0.0
6443512089,5,0.5,True,0.0,0.0
2442307875,7,0.5,True,0.31818,0.25455
9217939684,8,0.5,True,0.35038,0.20951
3581585756,7,0.5,False,0.0,0.0
11541421563,2,0.5,True,0.66848,0.48548
3206694342,1,0.5,False,0.0,0.0
4671452046,5,0.5,True,1.0,0.36364
6727904179,4,0.5,True,0.75701,0.75701
7728559968,8,0.5,True,1.0,0.58667
3456030972,6,0.5,False,0.0,0.0
8552680285,2,0.5,True,0.31189,0.12115
4612723694,8,0.5,False,0.43375,0.21958
5561024834,0,0.5,False,0.0,0.0
8557532213,6,0.5,True,0.0,0.0
5333075105,9,0.5,True,0.94614,0.76568
6183104292,5,0.5,True,0.0,0.0
4564478328,7,0.5,False,0.0,0.0
4378803532,3,0.5,False,0.0,0.0
3550839192,2,0.5,True,0.43477,0.09668
3263908208,4,0.5,True,0.80303,0.27676
10030609934,4,0.5,False,0.0,0.0
4542882771,2,0.5,False,0.0,0.0
4968805923,3,0.5,False,0.0,0.0
3375218204,2,0.5,True,0.0,0.0
5235909148,2,0.5,False,0.0,0.0
3974684583,6,0.5,True,1.0,0.41395
7453733046,2,0.5,False,0.0,0.0
11966080214,1,0.5,True,0.0,0.0
5875242364,1,0.5,True,0.88159,0.41364
2976913210,0,0.5,True,0.0,0.0
4770216656,5,0.5,True,0.0,0.0
3972259774,3,0.5,True,0.0,0.0
13569831214,6,0.5,True,1.0,0.58667
4164771889,5,0.5,False,0.26198,0.18161
7988210561,2,0.5,True,0.38636,0.38636
8513603944,1,0.5,False,0.0,0.0
