arm,query_mode,traversal,scope,metric,value,n
B,legacy,none,overall,avg_context_frames,4.0,2685
B,legacy,none,overall,max_context_frames_observed,4,2685
B,legacy,none,type=CW,n,1172,1172
B,legacy,none,type=CW,gold_frame_at_4,0.5392491467576792,1172
B,legacy,none,type=CW,anchor_in_gold_at_1,0.30716723549488056,1172
B,legacy,none,type=CW,mIoP,0.296861156996587,1172
B,legacy,none,type=CW,mIoU,0.15801815699658703,1172
B,legacy,none,type=CW,IoP@0.3,0.371160409556314,1172
B,legacy,none,type=CW,IoP@0.5,0.2986348122866894,1172
B,legacy,none,type=CW,IoU@0.3,0.24488054607508533,1172
B,legacy,none,type=CW,IoU@0.5,0.11262798634812286,1172
B,legacy,none,type=CW,zero_width_count,0,1172
B,legacy,none,type=CW,zero_width_rate,0.0,1172
B,legacy,none,type=CW,invalid_span_count,0,1172
B,legacy,none,type=CW,mean_pred_span_width,4.284910324232082,1172
B,legacy,none,type=CW,median_retrieval_ms,16.072000000000003,1172
B,legacy,none,type=CW,p95_retrieval_ms,20.79355,1172
B,legacy,none,type=CW,mean_ppr_calls,4.272184300341297,1172
B,legacy,none,type=CW,max_ppr_calls,5,1172
B,legacy,none,type=CW,avg_context_frames,4.0,1172
B,legacy,none,type=CW,max_context_frames_observed,4,1172
B,legacy,none,type=CH,n,392,392
B,legacy,none,type=CH,gold_frame_at_4,0.5892857142857143,392
B,legacy,none,type=CH,anchor_in_gold_at_1,0.36989795918367346,392
B,legacy,none,type=CH,mIoP,0.3318966530612245,392
B,legacy,none,type=CH,mIoU,0.1614828112244898,392
B,legacy,none,type=CH,IoP@0.3,0.4030612244897959,392
B,legacy,none,type=CH,IoP@0.5,0.3392857142857143,392
B,legacy,none,type=CH,IoU@0.3,0.22448979591836735,392
B,legacy,none,type=CH,IoU@0.5,0.11734693877551021,392
B,legacy,none,type=CH,zero_width_count,0,392
B,legacy,none,type=CH,zero_width_rate,0.0,392
B,legacy,none,type=CH,invalid_span_count,0,392
B,legacy,none,type=CH,mean_pred_span_width,4.2871045918367345,392
B,legacy,none,type=CH,median_retrieval_ms,14.186499999999999,392
B,legacy,none,type=CH,p95_retrieval_ms,19.5962,392
