video,qid,backbone,approx_retrieved_in_gold,top1_in_gold
5586394125,1,siglip2_base_patch16_224,True,True
2552130183,10,siglip2_base_patch16_224,False,False
2552130183,9,siglip2_base_patch16_224,False,False
2552130183,4,siglip2_base_patch16_224,False,False
2552130183,3,siglip2_base_patch16_224,False,False
2552130183,2,siglip2_base_patch16_224,False,False
2552130183,5,siglip2_base_patch16_224,False,False
2552130183,8,siglip2_base_patch16_224,False,False
2552130183,0,siglip2_base_patch16_224,True,True
2552130183,1,siglip2_base_patch16_224,True,False
2835125654,2,siglip2_base_patch16_224,False,False
2835125654,6,siglip2_base_patch16_224,True,False
2835125654,9,siglip2_base_patch16_224,True,False
2835125654,3,siglip2_base_patch16_224,False,False
2835125654,0,siglip2_base_patch16_224,True,True
2835125654,4,siglip2_base_patch16_224,True,True
2835125654,8,siglip2_base_patch16_224,True,False
2835125654,1,siglip2_base_patch16_224,True,True
2835125654,5,siglip2_base_patch16_224,True,False
3249402410,9,siglip2_base_patch16_224,False,False
3249402410,4,siglip2_base_patch16_224,False,False
3249402410,6,siglip2_base_patch16_224,True,True
3249402410,3,siglip2_base_patch16_224,False,False
3249402410,2,siglip2_base_patch16_224,False,False
3249402410,8,siglip2_base_patch16_224,True,True
3249402410,0,siglip2_base_patch16_224,True,False
3249402410,5,siglip2_base_patch16_224,False,False
3249402410,7,siglip2_base_patch16_224,False,False
4626535366,4,siglip2_base_patch16_224,True,True
4626535366,5,siglip2_base_patch16_224,False,False
4626535366,7,siglip2_base_patch16_224,True,True
4626535366,9,siglip2_base_patch16_224,True,True
4626535366,1,siglip2_base_patch16_224,False,False
4626535366,2,siglip2_base_patch16_224,True,True
4626535366,10,siglip2_base_patch16_224,True,False
4626535366,3,siglip2_base_patch16_224,True,True
4626535366,0,siglip2_base_patch16_224,False,False
5323654756,6,siglip2_base_patch16_224,True,False
5323654756,3,siglip2_base_patch16_224,False,False
5323654756,9,siglip2_base_patch16_224,True,True
5323654756,8,siglip2_base_patch16_224,True,True
5323654756,5,siglip2_base_patch16_224,True,True
5323654756,2,siglip2_base_patch16_224,False,False
5323654756,0,siglip2_base_patch16_224,False,False
5323654756,7,siglip2_base_patch16_224,False,False
5323654756,1,siglip2_base_patch16_224,False,False
6018514357,6,siglip2_base_patch16_224,False,False
6018514357,3,siglip2_base_patch16_224,True,True
6018514357,7,siglip2_base_patch16_224,True,True
6018514357,5,siglip2_base_patch16_224,True,True
6018514357,4,siglip2_base_patch16_224,True,False
6018514357,1,siglip2_base_patch16_224,True,False
6018514357,0,siglip2_base_patch16_224,False,False
6018514357,2,siglip2_base_patch16_224,True,True
6018514357,8,siglip2_base_patch16_224,True,False
6136926089,8,siglip2_base_patch16_224,True,False
6136926089,4,siglip2_base_patch16_224,True,True
6136926089,1,siglip2_base_patch16_224,True,True
6136926089,7,siglip2_base_patch16_224,True,False
6136926089,2,siglip2_base_patch16_224,True,True
6136926089,5,siglip2_base_patch16_224,True,True
6136926089,9,siglip2_base_patch16_224,False,False
6136926089,6,siglip2_base_patch16_224,True,True
6136926089,3,siglip2_base_patch16_224,True,True
14012319794,8,siglip2_base_patch16_224,True,True
14012319794,4,siglip2_base_patch16_224,True,True
14012319794,9,siglip2_base_patch16_224,True,True
