video,qid,ppr_lambda,any_in_gold,top1_in_gold,anchor_in_gold,iop,iou
6160414832,4,0.5,False,False,False,0.0,0.0
8594309349,8,0.5,False,False,False,0.0,0.0
3502722122,6,0.5,False,False,False,0.0,0.0
3502722122,5,0.5,True,False,True,0.95902,0.26292
5658916668,3,0.5,False,False,False,0.0,0.0
6018514357,2,0.5,True,True,True,1.0,0.74576
5586394125,6,0.5,True,True,False,0.0,0.0
11587211476,7,0.5,True,False,False,0.0,0.0
4635309062,2,0.5,True,True,True,1.0,0.13793
5863411262,0,0.5,False,False,False,0.0,0.0
3124551255,9,0.5,False,False,False,0.0,0.0
2552130183,3,0.5,False,False,False,0.0,0.0
10727696143,0,0.5,True,True,True,0.58995,0.31639
11276567104,0,0.5,True,False,True,0.88636,0.47755
4483447009,4,0.5,False,False,False,0.0,0.0
2810112808,0,0.5,False,False,False,0.0,0.0
9256409422,3,0.5,True,False,False,0.0,0.0
2510696559,6,0.5,False,False,False,0.0,0.0
3939145327,3,0.5,False,False,False,0.08558,0.05772
3355698421,4,0.5,False,False,False,0.0,0.0
6159637889,3,0.5,False,False,False,0.0,0.0
4126010904,5,0.5,True,False,True,0.5283,0.26489
4013751996,4,0.5,True,True,False,0.43239,0.42301
3851961428,8,0.5,True,True,True,0.56886,0.31299
6205856607,8,0.5,False,False,False,0.0,0.0
9528990839,4,0.5,False,False,False,0.0,0.0
2547885226,8,0.5,True,True,True,0.56591,0.25911
5047408177,1,0.5,False,False,False,0.0,0.0
2835125654,8,0.5,True,True,True,0.65909,0.65909
3502722122,1,0.5,True,True,True,1.0,0.48889
2885091387,5,0.5,False,False,False,0.0,0.0
9873067604,6,0.5,True,False,False,0.0,0.0
2716277960,2,0.5,True,False,False,0.0,0.0
3939145327,1,0.5,True,True,False,0.0,0.0
6136926089,9,0.5,False,False,False,0.0,0.0
2857132732,7,0.5,False,False,False,0.0,0.0
14012319794,6,0.5,True,False,True,0.50568,0.32841
7330294814,8,0.5,False,False,False,0.0,0.0
4744503881,1,0.5,True,False,False,0.29634,0.12664
2547885226,2,0.5,False,False,False,0.36591,0.28295
